idx,label,name,n_solids,vol_cm3,cx_mm,cy_mm,cz_mm,dx_mm,dy_mm,dz_mm
153,User_Library-DS1066-04-4MSV002,Part__Feature153,1,0.162,44.46,33.0,-4.3,7.4,12.0,6.5
288,User_Library-DS1066-04-4MSV006,Part__Feature288,1,0.162,44.46,47.75,-4.3,7.4,12.0,6.5
613,User_Library-DS1066-04-4MSV010,Part__Feature613,1,0.162,42.26,32.5,2.7,7.4,12.0,6.5
440,X2564WV-03-N0SN,Part__Feature440,1,0.157,22.87,60.62,-3.88,10.0,4.9,9.4
441,X2564WV-03-N0SN001,Part__Feature441,1,0.157,11.87,60.62,-3.88,10.0,4.9,9.4
444,Extruded (21),Part__Feature444,1,0.144,0.0,0.0,0.21,17.65,19.2,0.42
442,User_Library-06030,Part__Feature442,1,0.133,37.32,12.96,1.38,7.3,6.8,2.91
87,"扣式塞头 6mm v2",Part__Feature087,1,0.13,50.31,-18.3,0.73,8.0,8.0,6.5
88,"扣式塞头 6mm v001",Part__Feature088,1,0.13,50.31,-31.26,0.73,8.0,8.0,6.5
1138,"Female USB Type C Connector, RPi4ModelB",Part__Feature1139,1,0.13,-31.3,2.39,24.71,8.94,3.96,7.9
1299,黑色金属杯头内六角螺丝 M3*10 v3,Part__Feature1300,1,0.126,-4.95,-3.79,87.34,5.41,5.41,13.1
1300,黑色金属杯头内六角螺丝 M3*10 v001,Part__Feature1301,1,0.126,-4.95,-13.69,87.34,5.41,5.41,13.1
1301,黑色金属杯头内六角螺丝 M3*10 v002,Part__Feature1302,1,0.126,4.95,-3.79,87.34,5.41,5.41,13.1
1302,黑色金属杯头内六角螺丝 M3*10 v003,Part__Feature1303,1,0.126,4.95,-13.69,87.34,5.41,5.41,13.1
427,"Cap,_elec,_6.3x4.2",Part__Feature427,1,0.12,4.6,14.91,2.25,6.46,6.46,3.9
1140,"91D77 D9WHV 778K, 4 GB LPDDR4 SDRAM, RPi4ModelB",Part__Feature1141,1,0.116,2.25,1.2,-4.5,10.0,0.8,14.5
155,User_Library-DS1066-04-2MSV001,Part__Feature155,1,0.115,8.54,17.37,-3.32,8.0,7.4,6.5
158,User_Library-DS1066-04-2MSV005,Part__Feature158,1,0.115,19.6,17.37,-3.32,8.0,7.4,6.5
625,User_Library-DS1066-04-2MSV009,Part__Feature625,1,0.115,19.5,10.38,-3.32,8.0,7.4,6.5
628,User_Library-DS1066-04-2MSV013,Part__Feature628,1,0.115,8.44,10.38,-3.32,8.0,7.4,6.5
1048,"Broadcom BCM2711B0 CPU, RPi4ModelB",Part__Feature1049,1,0.112,-13.25,1.05,-4.5,15.0,0.5,15.0
115,六角铜柱 M2.5*8+3 v2,Part__Feature115,1,0.107,29.38,24.5,-6.0,4.6,5.31,8.0
117,六角铜柱 M2.5*8+3 v003,Part__Feature117,1,0.107,-28.62,24.5,-6.0,4.6,5.31,8.0
119,六角铜柱 M2.5*8+3 v006,Part__Feature119,1,0.107,29.38,-24.5,-6.0,4.6,5.31,8.0
121,六角铜柱 M2.5*8+3 v009,Part__Feature121,1,0.107,-28.62,-24.5,-6.0,4.6,5.31,8.0
123,六角铜柱 M2.5*8+3 v012,Part__Feature123,1,0.107,29.38,24.5,4.0,4.6,5.31,8.0
125,六角铜柱 M2.5*8+3 v015,Part__Feature125,1,0.107,-28.62,24.5,4.0,4.6,5.31,8.0
127,六角铜柱 M2.5*8+3 v018,Part__Feature127,1,0.107,-28.62,-24.5,4.0,4.6,5.31,8.0
129,六角铜柱 M2.5*8+3 v021,Part__Feature129,1,0.107,29.38,-24.5,4.0,4.6,5.31,8.0
1030,六角铜柱 M2.5*8+3 v024,Part__Feature1031,1,0.107,21.0,43.0,6.0,4.6,5.31,8.0
1032,六角铜柱 M2.5*8+3 v027,Part__Feature1033,1,0.107,21.0,-43.0,6.0,4.6,5.31,8.0
1034,六角铜柱 M2.5*8+3 v030,Part__Feature1035,1,0.107,-37.0,-43.0,6.0,4.6,5.31,8.0
1036,六角铜柱 M2.5*8+3 v033,Part__Feature1037,1,0.107,-37.0,43.0,6.0,4.6,5.31,8.0
1164,S-M3x10 v2,Part__Feature1165,1,0.101,-2.87,-3.69,6.84,5.41,5.41,12.0
1165,S-M3x10 v001,Part__Feature1166,1,0.101,17.13,-3.69,6.84,5.41,5.41,12.0
1166,S-M3x10 v002,Part__Feature1167,1,0.101,-2.87,-23.69,6.84,5.41,5.41,12.0
1167,S-M3x10 v003,Part__Feature1168,1,0.101,17.13,-23.69,6.84,5.41,5.41,12.0
1193,黑色金属杯头内六角螺丝 M3x4 v2,Part__Feature1194,1,0.096,-77.52,-101.1,4.45,5.95,5.95,7.1
1194,黑色金属杯头内六角螺丝 M3x4 v001,Part__Feature1195,1,0.096,-21.0,-101.1,6.05,5.95,5.95,7.1
1195,黑色金属杯头内六角螺丝 M3x4 v002,Part__Feature1196,1,0.096,47.0,-101.1,6.05,5.95,5.95,7.1
1196,黑色金属杯头内六角螺丝 M3x4 v003,Part__Feature1197,1,0.096,77.52,-101.1,4.45,5.95,5.95,7.1
1197,黑色金属杯头内六角螺丝 M3x4 v004,Part__Feature1198,1,0.096,77.52,101.1,4.45,5.95,5.95,7.1
1198,黑色金属杯头内六角螺丝 M3x4 v005,Part__Feature1199,1,0.096,-77.52,101.1,4.45,5.95,5.95,7.1
1199,黑色金属杯头内六角螺丝 M3x4 v006,Part__Feature1200,1,0.096,-21.0,101.1,6.05,5.95,5.95,7.1
1200,黑色金属杯头内六角螺丝 M3x4 v007,Part__Feature1201,1,0.096,47.0,101.1,6.05,5.95,5.95,7.1
1201,黑色金属杯头内六角螺丝 M3x4 v008,Part__Feature1202,1,0.096,63.19,33.68,2.45,5.95,5.95,7.1
1202,黑色金属杯头内六角螺丝 M3x4 v009,Part__Feature1203,1,0.096,-66.03,33.68,2.45,5.95,5.95,7.1
1203,黑色金属杯头内六角螺丝 M3x4 v010,Part__Feature1204,1,0.096,63.19,-33.68,2.45,5.95,5.95,7.1
1204,黑色金属杯头内六角螺丝 M3x4 v011,Part__Feature1205,1,0.096,-66.03,-33.68,2.45,5.95,5.95,7.1
1207,黑色金属杯头内六角螺丝 M3x4 v012,Part__Feature1208,1,0.096,25.74,-17.0,37.55,5.95,5.95,7.1
1208,黑色金属杯头内六角螺丝 M3x4 v013,Part__Feature1209,1,0.096,25.74,17.0,37.55,5.95,5.95,7.1
1209,黑色金属杯头内六角螺丝 M3x4 v014,Part__Feature1210,1,0.096,-8.26,17.0,37.55,5.95,5.95,7.1
1210,黑色金属杯头内六角螺丝 M3x4 v015,Part__Feature1211,1,0.096,-8.26,-17.0,37.55,5.95,5.95,7.1
1217,黑色金属杯头内六角螺丝 M3x4 v016,Part__Feature1218,1,0.096,-107.81,-44.5,-45.66,8.06,5.95,8.06
1218,黑色金属杯头内六角螺丝 M3x4 v017,Part__Feature1219,1,0.096,107.46,-44.5,-45.31,8.06,5.95,8.06
1219,黑色金属杯头内六角螺丝 M3x4 v018,Part__Feature1220,1,0.096,107.46,44.5,-45.31,8.06,5.95,8.06
1220,黑色金属杯头内六角螺丝 M3x4 v019,Part__Feature1221,1,0.096,-107.81,44.5,-45.66,8.06,5.95,8.06
1252,黑色金属杯头内六角螺丝 M3x4 v020,Part__Feature1253,1,0.096,-20.16,-3.79,135.95,7.1,5.95,5.95
1253,黑色金属杯头内六角螺丝 M3x4 v021,Part__Feature1254,1,0.096,-20.16,-3.79,126.05,7.1,5.95,5.95
1254,黑色金属杯头内六角螺丝 M3x4 v022,Part__Feature1255,1,0.096,-20.16,-13.69,135.95,7.1,5.95,5.95
1255,黑色金属杯头内六角螺丝 M3x4 v023,Part__Feature1256,1,0.096,-20.16,-13.69,126.05,7.1,5.95,5.95
1256,黑色金属杯头内六角螺丝 M3x4 v024,Part__Feature1257,1,0.096,20.16,-3.79,126.05,7.1,5.95,5.95
1257,黑色金属杯头内六角螺丝 M3x4 v025,Part__Feature1258,1,0.096,20.16,-3.79,135.95,7.1,5.95,5.95
1258,黑色金属杯头内六角螺丝 M3x4 v026,Part__Feature1259,1,0.096,20.16,-13.69,126.05,7.1,5.95,5.95
1259,黑色金属杯头内六角螺丝 M3x4 v027,Part__Feature1260,1,0.096,20.16,-13.69,135.95,7.1,5.95,5.95
1260,黑色金属杯头内六角螺丝 M3x4 v028,Part__Feature1261,1,0.096,-17.0,8.26,77.45,5.95,5.95,7.1
1261,黑色金属杯头内六角螺丝 M3x4 v029,Part__Feature1262,1,0.096,17.0,-25.74,77.45,5.95,5.95,7.1
1262,黑色金属杯头内六角螺丝 M3x4 v030,Part__Feature1263,1,0.096,-17.0,-25.74,77.45,5.95,5.95,7.1
1263,黑色金属杯头内六角螺丝 M3x4 v031,Part__Feature1264,1,0.096,17.0,8.26,77.45,5.95,5.95,7.1
1264,黑色金属杯头内六角螺丝 M3x4 v032,Part__Feature1265,1,0.096,-0.0,-8.74,81.95,5.95,5.95,7.1
1265,黑色金属杯头内六角螺丝 M3x4 v033,Part__Feature1266,1,0.096,-18.66,-8.74,131.0,7.1,5.95,5.95
1163,"散热隔离片 v2",Part__Feature1164,1,0.095,7.13,-13.69,9.68,26.0,26.0,0.2
14,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N",Part__Feature014,1,0.094,-13.42,7.75,-11.98,4.3,4.3,26.6
